"","CBO.Ocupação.2002","Vínculo.Ativo.31.12","Escolaridade.após.2005","Qtd.Hora.Contr","Idade","Vl.Remun.Média.Nom","Sexo.Trabalhador","Tempo.Emprego"
"1564734",212420,1,7,44,40,1665.63,1,29.3
"1564736",212420,1,7,44,32,1816.29,1,26
"1564740",212420,1,7,44,29,1938.72,1,25.6
"1564742",212420,1,7,44,21,1934.59,1,30.9
"1564744",212420,1,7,44,22,1306.66,1,9.9
"1564745",212420,1,7,44,24,1572.09,1,23.1
"1564747",212420,1,7,44,23,1243.24,1,12.5
"1564748",212420,1,7,44,21,1434.13,1,21.4
"1564749",212410,1,7,44,28,6776.34,1,89.5
"1565360",212420,1,7,44,21,2455.13,1,23.8
"1565361",212420,1,7,44,18,1158,1,0.1
"1565362",212420,1,7,44,19,1268.67,1,13.4
"1565737",212420,1,7,44,25,1272.22,1,1.3
"1565920",212420,1,7,44,30,1229.63,1,9.9
"1565922",212420,1,7,44,24,1824.44,1,69.9
"1565923",212420,1,7,44,23,1170.38,1,2.8
"1565924",212420,1,7,44,18,1146.98,1,3.3
"1565925",212420,1,7,44,18,1418.52,1,22.4
"1565926",212420,1,7,44,20,1177.09,1,15.7
"1568753",212420,1,7,42,33,2859.95,1,10.9
"1568754",212420,1,7,42,25,2037.46,1,18.2
"1569062",212415,1,7,44,44,2811.76,1,64.8
"1569488",212415,1,7,44,28,1950.77,1,31.6
"1570007",212420,1,7,44,23,1515.3,1,40.9
"1570190",212420,1,7,44,21,1478.68,1,40.8
"1570790",212420,1,7,44,26,2700,1,2.9
"1570791",212420,1,7,44,27,1794.62,1,10.5
"1571055",212420,1,7,44,26,2258.5,1,36.9
"1571602",212410,1,7,44,26,1601.76,1,30.8
"1572211",212420,1,7,22,23,900,1,14.9
"1572332",212420,1,7,44,21,1563.61,1,35.5
"1573027",212410,1,7,44,42,4031.53,1,12.9
"1573613",212420,1,7,44,20,1100.4,1,7.9
"1573614",212420,1,7,44,24,1132.63,1,5.9
"1574079",212410,1,7,44,22,1747.27,1,15.9
"1574831",212420,1,7,35,31,2723.66,1,133.9
"1575910",212415,1,7,44,30,3187.94,1,75.4
"1575919",212415,1,7,44,27,2515.41,1,57.8
"1575959",212410,1,7,44,20,1620.73,1,28.4
"1577156",212420,1,7,44,39,5317.35,1,80.8
